address,city,density(sq mi),income(USD),price(USD),age,bds,ba,sqft,state,url,city_wiki,text
2409 E Zion Rd,FAYETTEVILLE,1578.07,31393,297800,42,5,4,3648,AR,https://www.zillow.com/homedetails/2409-E-Zion-Rd-Fayetteville-AR-72703/72843956_zpid/,"https://en.wikipedia.org/wiki/Fayetteville,_AR","The median income for a household in the city was $31,393, and the median income for a family was $62,258. Males had a median income of $42,004 versus $29,373 for females, indicating a huge income disparity. The per capita income for the city was $26,267. 38.7% of the population and 26.9% of families were below the poverty line. Out of the total population, 19.0% of those under the age of 18 and 17.3% of those 65 and older were living below the poverty line.[49]"
14816 Quail Dr,ROGERS,1741.1,40474,375000,16,3,4,3286,AR,https://www.zillow.com/homedetails/14816-Quail-Dr-Rogers-AR-72758/70716689_zpid/,"https://en.wikipedia.org/wiki/Rogers,_AR","The median income for a household in the city was $40,474, and the median income for a family was $45,876. Males had a median income of $30,911 versus $22,020 for females. The per capita income for the city was $19,761.  About 9.4% of families and 12.8% of the population were below the poverty line, including 17.6% of those under age 18 and 10.1% of those age 65 or over."
1705 Akins Creek Rd,Clinton,192.4,22206,55000,,6,4,2000,AR,https://www.zillow.com/homedetails/1705-Akins-Creek-Rd-Clinton-AR-72031/2085550951_zpid/,"https://en.wikipedia.org/wiki/Clinton,_AR","The median income for a household in the city was $22,206, and the median income for a family was $30,792. Males had a median income of $24,750 versus $19,152 for females. The per capita income for the city was $15,514.  About 15.7% of families and 17.9% of the population were below the poverty line, including 21.7% of those under age 18 and 16.7% of those age 65 or over."
9221 Moody Rd,FORT SMITH,1391.03,32157,10900000,14,4,7,18367,AR,https://www.zillow.com/homedetails/9221-Moody-Rd-Fort-Smith-AR-72903/74536299_zpid/,"https://en.wikipedia.org/wiki/Fort_Smith,_AR","The median income for a household in the city was $32,157, and the median income for a family was $41,012. Males had a median income of $29,799 versus $22,276 for females. The per capita income for the city was $18,994. About 12.1% of families and 15.8% of the population were below the poverty line, including 22.2% of those under age 18 and 9.6% of those age 65 or over."
3257 Indian Springs Ave,SPRINGDALE,1701.16,26523,180000,6,3,2,1763,AR,https://www.zillow.com/homedetails/3257-Indian-Springs-Ave-Springdale-AR-72762/70665357_zpid/,"https://en.wikipedia.org/wiki/Springdale,_AR","The median income for a household in the city was $26,523, and the median income for a family was $46,407. Males had a median income of $31,495 versus $26,492 for females. The per capita income for the city was $18,645. 21.3% of the population and 17.4% of families were below the poverty line. Out of the total population, 33.6% of those under the age of 18 and 6.3% of those 65 and older were living below the poverty line.[17]"
14 Haslingden Ln,Bella Vista,629.65,44090,125000,34,2,4,1352,AR,https://www.zillow.com/homedetails/14-Haslingden-Ln-Bella-Vista-AR-72715/70734093_zpid/,"https://en.wikipedia.org/wiki/Bella_Vista,_AR","The median income for a household in the CDP was $44,090, and the median income for a family was $48,233. Males had a median income of $34,547 versus $24,690 for females. The per capita income for the CDP was $25,406.  About 1.5% of families and 2.5% of the population were below the poverty line, including 3.7% of those under the age of 18 and 1.0% of those 65 and older."
16432 Hazel Valley Rd,Fayetteville,1578.07,31393,69000,94,3,3,2086,AR,https://www.zillow.com/homedetails/16432-Hazel-Valley-Rd-Fayetteville-AR-72701/2086175002_zpid/,"https://en.wikipedia.org/wiki/Fayetteville,_AR","The median income for a household in the city was $31,393, and the median income for a family was $62,258. Males had a median income of $42,004 versus $29,373 for females, indicating a huge income disparity. The per capita income for the city was $26,267. 38.7% of the population and 26.9% of families were below the poverty line. Out of the total population, 19.0% of those under the age of 18 and 17.3% of those 65 and older were living below the poverty line.[49]"
2395 Orchid,Conway,1431.72,42640,169500,16,3,2,1571,AR,https://www.zillow.com/homedetails/2395-Orchid-Conway-AR-72034/60826436_zpid/,"https://en.wikipedia.org/wiki/Conway,_AR","The median income for a household in the city was $42,640, and the median income for a family was $63,860.[34] The per capita income for the city was $42,582.[35] About 9.3% of families and 16.3% of the population were below the poverty line, including 15.0% of those under age 18 and 10.8% of those age 65 or over[citation needed]."
516 County Road 713,JONESBORO,948.56,32196,189900,,3,2,1964,AR,https://www.zillow.com/homedetails/516-County-Road-713-Jonesboro-AR-72401/76119418_zpid/,"https://en.wikipedia.org/wiki/Jonesboro,_AR","The median income for a household in the city was $32,196, and the median income for a family was $42,082. Males had a median income of $21,633 versus $31,633 for females. The per capita income for the city was $17,884. About 12.9% of families and 23.1% of the population were below the poverty line, including 22.4% of those under age 18 and 12.3% of those age 65 or over."
3648 E Township St,Fayetteville,1578.07,31393,372000,16,4,3,3227,AR,https://www.zillow.com/homedetails/3648-E-Township-St-Fayetteville-AR-72703/72871369_zpid/,"https://en.wikipedia.org/wiki/Fayetteville,_AR","The median income for a household in the city was $31,393, and the median income for a family was $62,258. Males had a median income of $42,004 versus $29,373 for females, indicating a huge income disparity. The per capita income for the city was $26,267. 38.7% of the population and 26.9% of families were below the poverty line. Out of the total population, 19.0% of those under the age of 18 and 17.3% of those 65 and older were living below the poverty line.[49]"
11101 Rivercrest Dr,LITTLE ROCK,1665.93,37572,334900,12,4,3,2838,AR,https://www.zillow.com/homedetails/11101-Rivercrest-Dr-Little-Rock-AR-72212/82848206_zpid/,"https://en.wikipedia.org/wiki/Little_Rock,_AR","The median income for a household in the city was $37,572, and the median income for a family was $47,446. Males had a median income of $35,689 versus $26,802 for females. The per capita income for the city was $23,209[citation needed]. 14.3% of the population is below the poverty line. Out of the total population, 20.9% of those under the age of 18 and 9.0% of those 65 and older were living below the poverty line."
9992 Jims Trl,ROGERS,1741.1,40474,499900,23,5,4,2500,AR,https://www.zillow.com/homedetails/9992-Jims-Trl-Rogers-AR-72756/70693433_zpid/,"https://en.wikipedia.org/wiki/Rogers,_AR","The median income for a household in the city was $40,474, and the median income for a family was $45,876. Males had a median income of $30,911 versus $22,020 for females. The per capita income for the city was $19,761.  About 9.4% of families and 12.8% of the population were below the poverty line, including 17.6% of those under age 18 and 10.1% of those age 65 or over."
3908 Lankford Ave,SPRINGDALE,1701.16,26523,139900,44,3,2,1704,AR,https://www.zillow.com/homedetails/3908-Lankford-Ave-Springdale-AR-72762/72857155_zpid/,"https://en.wikipedia.org/wiki/Springdale,_AR","The median income for a household in the city was $26,523, and the median income for a family was $46,407. Males had a median income of $31,495 versus $26,492 for females. The per capita income for the city was $18,645. 21.3% of the population and 17.4% of families were below the poverty line. Out of the total population, 33.6% of those under the age of 18 and 6.3% of those 65 and older were living below the poverty line.[17]"
10 Valley Crest Ct,LITTLE ROCK,1665.93,37572,2495000,11,5,12,15291,AR,https://www.zillow.com/homedetails/10-Valley-Crest-Ct-Little-Rock-AR-72223/79789009_zpid/,"https://en.wikipedia.org/wiki/Little_Rock,_AR","The median income for a household in the city was $37,572, and the median income for a family was $47,446. Males had a median income of $35,689 versus $26,802 for females. The per capita income for the city was $23,209[citation needed]. 14.3% of the population is below the poverty line. Out of the total population, 20.9% of those under the age of 18 and 9.0% of those 65 and older were living below the poverty line."
2155 Rainbow Rd,Conway,1431.72,42640,165000,26,3,2,1876,AR,https://www.zillow.com/homedetails/2155-Rainbow-Rd-Conway-AR-72032/240103_zpid/,"https://en.wikipedia.org/wiki/Conway,_AR","The median income for a household in the city was $42,640, and the median income for a family was $63,860.[34] The per capita income for the city was $42,582.[35] About 9.3% of families and 16.3% of the population were below the poverty line, including 15.0% of those under age 18 and 10.8% of those age 65 or over[citation needed]."
5320 S Bellview Rd,ROGERS,1741.1,40474,15000,43,4,3,2511,AR,https://www.zillow.com/homedetails/5320-S-Bellview-Rd-Rogers-AR-72758/70656914_zpid/,"https://en.wikipedia.org/wiki/Rogers,_AR","The median income for a household in the city was $40,474, and the median income for a family was $45,876. Males had a median income of $30,911 versus $22,020 for females. The per capita income for the city was $19,761.  About 9.4% of families and 12.8% of the population were below the poverty line, including 17.6% of those under age 18 and 10.1% of those age 65 or over."
18319 Williamstowne Pl,Springdale,1701.16,26523,264900,4,3,2,1497,AR,https://www.zillow.com/homedetails/18319-Williamstowne-Pl-Springdale-AR-72764/134617119_zpid/,"https://en.wikipedia.org/wiki/Springdale,_AR","The median income for a household in the city was $26,523, and the median income for a family was $46,407. Males had a median income of $31,495 versus $26,492 for females. The per capita income for the city was $18,645. 21.3% of the population and 17.4% of families were below the poverty line. Out of the total population, 33.6% of those under the age of 18 and 6.3% of those 65 and older were living below the poverty line.[17]"
4300 E Lawndale Dr,FAYETTEVILLE,1578.07,31393,165000,18,3,2,1298,AR,https://www.zillow.com/homedetails/4300-E-Lawndale-Dr-Fayetteville-AR-72701/72871218_zpid/,"https://en.wikipedia.org/wiki/Fayetteville,_AR","The median income for a household in the city was $31,393, and the median income for a family was $62,258. Males had a median income of $42,004 versus $29,373 for females, indicating a huge income disparity. The per capita income for the city was $26,267. 38.7% of the population and 26.9% of families were below the poverty line. Out of the total population, 19.0% of those under the age of 18 and 17.3% of those 65 and older were living below the poverty line.[49]"
3820 S 101st Dr,TOLLESON,1244.02,38773,249900,13,3,2,2213,AZ,https://www.zillow.com/homedetails/3820-S-101st-Dr-Tolleson-AZ-85353/71491541_zpid/,"https://en.wikipedia.org/wiki/Tolleson,_AZ","The median income for a household in the city was $38,773, and the median income for a family was $43,894. Males had a median income of $26,934 versus $23,511 for females. The per capita income for the city was $13,747.  About 9.9% of families and 13.7% of the population were below the poverty line, including 19.4% of those under age 18 and 10.9% of those age 65 or over."
2512 W Laredo Ln,PHOENIX,3119.94,47866,385000,13,5,4,3253,AZ,https://www.zillow.com/homedetails/2512-W-Laredo-Ln-Phoenix-AZ-85085/81971948_zpid/,"https://en.wikipedia.org/wiki/Phoenix,_AZ","The median income for a household in the city was $47,866, and the median income for a family was $54,804. Males had a median income of $32,820 versus $27,466 for females. The per capita income for the city was $24,110. 21.8% of the population and 17.1% of families were below the poverty line. Out of the total population, 31.4% of those under the age of 18 and 10.5% of those 65 and older were living below the poverty line.[140]"
2827 E Janice Way,Phoenix,3119.94,47866,190000,58,2,2,1020,AZ,https://www.zillow.com/homedetails/2827-E-Janice-Way-Phoenix-AZ-85032/8011623_zpid/,"https://en.wikipedia.org/wiki/Phoenix,_AZ","The median income for a household in the city was $47,866, and the median income for a family was $54,804. Males had a median income of $32,820 versus $27,466 for females. The per capita income for the city was $24,110. 21.8% of the population and 17.1% of families were below the poverty line. Out of the total population, 31.4% of those under the age of 18 and 10.5% of those 65 and older were living below the poverty line.[140]"
15945 W Marconi Ave,Surprise,1230.19,44156,270000,19,3,2,2174,AZ,https://www.zillow.com/homedetails/15945-W-Marconi-Ave-Surprise-AZ-85374/8306675_zpid/,"https://en.wikipedia.org/wiki/Surprise,_AZ","The median income for a household in the city was $44,156, and the median income for a family was $47,899. Males had a median income of $33,079 versus $26,347 for females. The per capita income for the city was $21,451. About 5.6% of families and 8.7% of the population were below the poverty line, including 16.7% of those under age 18 and 3.3% of those age 65 or over."
